bin,lower,upper,upper_inclusive,count,mean_probability,positive_fraction,ece_contribution,model,probability_method
0,0.0,0.1,False,51,0.0854304375404356,0.1176470588235294,0.0015384341623949,B3_random_forest,uncalibrated
1,0.1,0.2,False,178,0.1561339227012029,0.1797752808988764,0.0039402263662789,B3_random_forest,uncalibrated
2,0.2,0.2999999999999999,False,158,0.2504501311037166,0.2911392405063291,0.0060195498928958,B3_random_forest,uncalibrated
3,0.2999999999999999,0.4,False,196,0.349662672186726,0.5357142857142857,0.0341443036061813,B3_random_forest,uncalibrated
4,0.4,0.5,False,182,0.4508900279881182,0.4945054945054945,0.0074325982267439,B3_random_forest,uncalibrated
5,0.5,0.5999999999999999,False,107,0.5471540412663595,0.5514018691588785,0.0004255782626399,B3_random_forest,uncalibrated
6,0.5999999999999999,0.6999999999999998,False,84,0.6417333725799236,0.5714285714285714,0.0055295911017917,B3_random_forest,uncalibrated
7,0.6999999999999998,0.8,False,85,0.7532178506668638,0.7529411764705882,2.2019950078108512e-05,B3_random_forest,uncalibrated
8,0.8,0.9,False,27,0.829225700774242,1.0,0.0043173277894152,B3_random_forest,uncalibrated
9,0.9,1.0,True,0,,,0.0,B3_random_forest,uncalibrated
