feature,permutation_auprc_decrease_mean,permutation_auprc_decrease_std,repeats,rank
idf_weighted_query_token_context_coverage,0.0376548478329449,0.0098772387160471,30,1
retrieval_strategy,0.0190421478523293,0.0057308385229124,30,2
bm25_dense_chunk_overlap_count,0.0122476427613944,0.0028059831632877,30,3
bm25_dense_chunk_jaccard,0.0101879761742129,0.0024274847411263,30,4
query_chunk_similarity_max,0.0082303654147877,0.0056836229717668,30,5
max_chunk_query_lexical_overlap,0.0080055670317928,0.0088493224190175,30,6
std_chunk_query_lexical_overlap,0.0075656064787593,0.002317820136145,30,7
query_digit_token_fraction,0.0054882623831802,0.0009390402587817,30,8
query_chunk_similarity_std,0.0050118548680571,0.0021171281100777,30,9
query_unique_token_fraction,0.0047719651773957,0.0016020269713637,30,10
unique_query_token_context_coverage,0.0035135643211572,0.0026319444444969,30,11
query_digit_token_count,0.0033612042251813,0.0009368620508624,30,12
duplicate_document_ratio,0.0032748964147382,0.0005354663198418,30,13
retrieval_top1_top2_gap,0.0021130421561548,0.0024784413089001,30,14
query_unique_token_count,0.0015835795247932,0.0043840141496229,30,15
chunk_pairwise_similarity_mean,0.0011600375474174,0.0009621467212466,30,16
mean_chunk_query_lexical_overlap,0.001005801327421,0.0008995169768305,30,17
retrieval_score_std,0.0009958952011476,0.0030902760365877,30,18
retrieval_top1_score,0.0008838416010927,0.0024644670736428,30,19
query_chunk_similarity_mean,0.0007538979085012,0.0011973048718992,30,20
query_chunk_similarity_min,0.000752858762471,0.0008688684123211,30,21
retrieved_total_token_count,0.0006817449947257,0.0003148612725414,30,22
retrieval_score_range,0.0006619992968255,0.0028263830143637,30,23
k,0.0002273573542588,0.0001505310448658,30,24
retrieved_chunk_count,3.694830820482424e-05,0.0001678861116001,30,25
retrieval_top2_score,2.63675867144042e-05,0.0007750483466021,30,26
retrieved_unique_document_count,-1.0249618187552212e-05,0.0002659765791356,30,27
chunk_pairwise_similarity_max,-0.0001196851388662,0.0006407241085166,30,28
dominant_document_chunk_fraction,-0.0002021523219964,0.0003229844417258,30,29
retrieval_score_mean,-0.0007553771917258,0.000781767013895,30,30
retrieval_score_max,-0.0009621598700292,0.0019832601379596,30,31
retrieved_std_chunk_token_count,-0.0010251544238581,0.0009412831484864,30,32
retrieval_score_min,-0.0010897215892113,0.0008898658438143,30,33
query_identifier_like_token_fraction,-0.0015767836814096,0.0010936624395119,30,34
retrieved_mean_chunk_token_count,-0.0016477375060635,0.000949135051663,30,35
query_identifier_like_token_count,-0.002280926688307,0.0012144684492648,30,36
query_chunk_similarity_top1_top2_gap,-0.0024026265399105,0.0008345739511852,30,37
query_token_count,-0.0026122745516912,0.0023847945761506,30,38
query_char_count,-0.0113581666485605,0.0052072496066344,30,39
