schema_version,split,retrieval_strategy,k,condition_rows,positive_labels,negative_labels,na_labels,answerable_wrong_document_negatives,correct_document_incomplete_negatives,partial_overlap_conditions,benchmark_impossible_preliminary_negatives
phase03-development-summary-v1,train,bm25,1,637,78,558,1,233,115,68,210
phase03-development-summary-v1,train,bm25,3,637,98,538,1,193,135,86,210
phase03-development-summary-v1,train,bm25,5,637,112,524,1,178,136,88,210
phase03-development-summary-v1,train,bm25,10,637,134,502,1,145,147,90,210
phase03-development-summary-v1,train,dense,1,637,74,562,1,263,89,38,210
phase03-development-summary-v1,train,dense,3,637,120,516,1,201,105,60,210
phase03-development-summary-v1,train,dense,5,637,136,500,1,181,109,65,210
phase03-development-summary-v1,train,dense,10,637,164,472,1,150,112,67,210
phase03-development-summary-v1,train,hybrid,1,637,87,549,1,244,95,50,210
phase03-development-summary-v1,train,hybrid,3,637,119,517,1,186,121,73,210
phase03-development-summary-v1,train,hybrid,5,637,132,504,1,166,128,73,210
phase03-development-summary-v1,train,hybrid,10,637,155,481,1,132,139,87,210
phase03-development-summary-v1,validation,bm25,1,137,13,121,3,51,25,7,45
phase03-development-summary-v1,validation,bm25,3,137,20,114,3,41,28,16,45
phase03-development-summary-v1,validation,bm25,5,137,24,110,3,35,30,16,45
phase03-development-summary-v1,validation,bm25,10,137,27,107,3,26,36,20,45
phase03-development-summary-v1,validation,dense,1,137,13,121,3,56,20,8,45
phase03-development-summary-v1,validation,dense,3,137,21,113,3,35,33,13,45
phase03-development-summary-v1,validation,dense,5,137,24,110,3,27,38,15,45
phase03-development-summary-v1,validation,dense,10,137,31,103,3,22,36,18,45
phase03-development-summary-v1,validation,hybrid,1,137,14,120,3,47,28,10,45
phase03-development-summary-v1,validation,hybrid,3,137,24,110,3,31,34,15,45
phase03-development-summary-v1,validation,hybrid,5,137,29,105,3,27,33,17,45
phase03-development-summary-v1,validation,hybrid,10,137,37,97,3,23,29,14,45
