candidate_order,family,T_cov,T_mean,T_min,T_contradiction,historically_evaluated_in_phase03_6b,new_phase03_6c_candidate,eligible_count,tn,fp,fn,tp,sample_accuracy,sample_precision,sample_recall,sample_f1,weighted_accuracy,weighted_precision,weighted_recall,weighted_f1,rescued_by_coverage,rescued_by_nli,rescue_mechanism_overlap,weighted_confusion_proportions_json,metrics_by_stratum_json
1,coverage_only,0.2,,,,False,True,120,41,1,20,58,0.825,0.9830508474576272,0.7435897435897436,0.8467153284671532,0.8582308522114348,0.9873227814867601,0.7575833157460525,0.8573289619384675,29,0,0,"{""fn"":0.13629989212513485,""fp"":0.00546925566343042,""tn"":0.43227615965480043,""tp"":0.4259546925566343}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.9666666666666667,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":1,""tn"":1,""tp"":28},""development_population_count"":1014,""f1"":0.9824561403508771,""precision"":0.9655172413793104,""recall"":1.0,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
2,coverage_only,0.3,,,,False,True,120,41,1,22,56,0.8083333333333333,0.9824561403508771,0.717948717948718,0.8296296296296296,0.8472923408845738,0.9869929962287385,0.7381285854070336,0.8446103183315038,27,0,0,"{""fn"":0.14723840345199568,""fp"":0.00546925566343042,""tn"":0.43227615965480043,""tp"":0.41501618122977346}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.9,""completed_count"":30,""confusion_matrix"":{""fn"":2,""fp"":1,""tn"":1,""tp"":26},""development_population_count"":1014,""f1"":0.9454545454545454,""precision"":0.9629629629629629,""recall"":0.9285714285714286,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
3,coverage_only,0.4,,,,False,True,120,42,0,23,55,0.8083333333333333,1.0,0.7051282051282052,0.8270676691729323,0.847292340884574,1.0,0.7284012202375243,0.8428612659014719,25,0,0,"{""fn"":0.1527076591154261,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.409546925566343}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.9,""completed_count"":30,""confusion_matrix"":{""fn"":3,""fp"":0,""tn"":2,""tp"":25},""development_population_count"":1014,""f1"":0.9433962264150945,""precision"":1.0,""recall"":0.8928571428571429,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
4,coverage_only,0.45,,,,False,True,120,42,0,25,53,0.7916666666666666,1.0,0.6794871794871795,0.8091603053435115,0.8363538295577131,1.0,0.7089464898985054,0.8296883420154482,23,0,0,"{""fn"":0.16364617044228696,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.3986084142394822}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":2,""tp"":23},""development_population_count"":1014,""f1"":0.9019607843137255,""precision"":1.0,""recall"":0.8214285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
5,coverage_only,0.5,,,,True,False,120,42,0,26,52,0.7833333333333333,1.0,0.6666666666666666,0.8,0.8308845738942826,1.0,0.6992191247289959,0.8229887653136115,22,0,0,"{""fn"":0.1691154261057174,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.39313915857605175}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.8,""completed_count"":30,""confusion_matrix"":{""fn"":6,""fp"":0,""tn"":2,""tp"":22},""development_population_count"":1014,""f1"":0.88,""precision"":1.0,""recall"":0.7857142857142857,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":15,""fp"":0,""tn"":15,""tp"":0},""development_population_count"":787,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
6,nli_only,,0.3,0.0,0.5,False,True,120,37,5,40,38,0.625,0.8837209302325582,0.48717948717948717,0.628099173553719,0.7100809061488673,0.8616989268879751,0.5769651388116114,0.6911554306793305,0,13,0,"{""fn"":0.23785329018338727,""fp"":0.052065803667745415,""tn"":0.3856796116504855,""tp"":0.32440129449838184}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.26666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":22,""fp"":0,""tn"":2,""tp"":6},""development_population_count"":1014,""f1"":0.35294117647058826,""precision"":1.0,""recall"":0.21428571428571427,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.4666666666666667,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":2,""tn"":13,""tp"":1},""development_population_count"":787,""f1"":0.1111111111111111,""precision"":0.3333333333333333,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.7666666666666667,""completed_count"":30,""confusion_matrix"":{""fn"":4,""fp"":3,""tn"":22,""tp"":1},""development_population_count"":2693,""f1"":0.22222222222222224,""precision"":0.25,""recall"":0.2,""sampling_stratum"":""wrong_document_retrieval""}]"
7,nli_only,,0.3,0.05,0.5,False,True,120,41,1,44,34,0.625,0.9714285714285714,0.4358974358974359,0.6017699115044248,0.7269687162891046,0.9857417204145229,0.521948926536329,0.6825098157277438,0,5,0,"{""fn"":0.26878640776699025,""fp"":0.004244875943905071,""tn"":0.4335005393743258,""tp"":0.29346817691477883}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":1,""tn"":14,""tp"":1},""development_population_count"":787,""f1"":0.11764705882352941,""precision"":0.5,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
8,nli_only,,0.3,0.1,0.5,False,True,120,41,1,44,34,0.625,0.9714285714285714,0.4358974358974359,0.6017699115044248,0.7269687162891046,0.9857417204145229,0.521948926536329,0.6825098157277438,0,5,0,"{""fn"":0.26878640776699025,""fp"":0.004244875943905071,""tn"":0.4335005393743258,""tp"":0.29346817691477883}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":1,""tn"":14,""tp"":1},""development_population_count"":787,""f1"":0.11764705882352941,""precision"":0.5,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
9,nli_only,,0.35,0.0,0.5,False,True,120,38,4,40,38,0.6333333333333333,0.9047619047619048,0.48717948717948717,0.6333333333333333,0.7143257820927724,0.8715258658165483,0.5769651388116114,0.6942950153533579,0,12,0,"{""fn"":0.23785329018338727,""fp"":0.04782092772384035,""tn"":0.3899244875943906,""tp"":0.32440129449838184}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.26666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":22,""fp"":0,""tn"":2,""tp"":6},""development_population_count"":1014,""f1"":0.35294117647058826,""precision"":1.0,""recall"":0.21428571428571427,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":1,""tn"":14,""tp"":1},""development_population_count"":787,""f1"":0.11764705882352941,""precision"":0.5,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.7666666666666667,""completed_count"":30,""confusion_matrix"":{""fn"":4,""fp"":3,""tn"":22,""tp"":1},""development_population_count"":2693,""f1"":0.22222222222222224,""precision"":0.25,""recall"":0.2,""sampling_stratum"":""wrong_document_retrieval""}]"
10,nli_only,,0.35,0.05,0.5,False,True,120,42,0,44,34,0.6333333333333333,1.0,0.4358974358974359,0.6071428571428571,0.7312135922330096,1.0,0.521948926536329,0.6858954560639391,0,4,0,"{""fn"":0.26878640776699025,""fp"":0.0,""tn"":0.43774541531823086,""tp"":0.29346817691477883}","[{""accuracy"":1.0,""completed_count"":30,""confusion_matrix"":{""fn"":0,""fp"":0,""tn"":0,""tp"":30},""development_population_count"":1686,""f1"":1.0,""precision"":1.0,""recall"":1.0,""sampling_stratum"":""automatic_positive""},{""accuracy"":0.16666666666666666,""completed_count"":30,""confusion_matrix"":{""fn"":25,""fp"":0,""tn"":2,""tp"":3},""development_population_count"":1014,""f1"":0.19354838709677416,""precision"":1.0,""recall"":0.10714285714285714,""sampling_stratum"":""partial_overlap""},{""accuracy"":0.5333333333333333,""completed_count"":30,""confusion_matrix"":{""fn"":14,""fp"":0,""tn"":15,""tp"":1},""development_population_count"":787,""f1"":0.125,""precision"":1.0,""recall"":0.06666666666666667,""sampling_stratum"":""correct_document_insufficient""},{""accuracy"":0.8333333333333334,""completed_count"":30,""confusion_matrix"":{""fn"":5,""fp"":0,""tn"":25,""tp"":0},""development_population_count"":2693,""f1"":0.0,""precision"":null,""recall"":0.0,""sampling_stratum"":""wrong_document_retrieval""}]"
