model_family,candidate_order,C,class_weight,mean_auprc,mean_auroc,fold_auprc_json,fold_auroc_json,selected,max_depth,min_samples_leaf,max_features
logistic_regression,0,0.10000000000000001,,0.72327004066468037,0.75791973885664599,"[0.782360690544001,0.7116665558008112,0.6795492119822264,0.7461544279672041,0.6966193170291595]","[0.8101442495126705,0.7362076923076923,0.7336933385888845,0.7447145061728395,0.7648389077011426]",False,,,
logistic_regression,1,0.10000000000000001,balanced,0.72302904746219865,0.75789933646750196,"[0.7820291313054728,0.7114367863981261,0.6793528546989201,0.7458561474605623,0.6964703174479114]","[0.810327485380117,0.7361538461538462,0.7336263303113914,0.7446412037037038,0.7647478167884514]",False,,,
logistic_regression,2,1,,0.7237061654717627,0.75942714528951549,"[0.7843726587303139,0.6963170440439972,0.6898754774694845,0.7513098887357403,0.696655758379278]","[0.810475633528265,0.7301730769230769,0.7433307055577453,0.746099537037037,0.7670567734014535]",True,,,
logistic_regression,3,1,balanced,0.72335702415234959,0.75920363780441735,"[0.7840202684206037,0.6957006873565392,0.6891805435799008,0.7511624905992375,0.6967211308054666]","[0.8105808966861598,0.7294576923076922,0.7429365392195506,0.7461882716049383,0.7668547892037465]",False,,,
logistic_regression,4,10,,0.72242128577419873,0.75827906928806299,"[0.7840633122766493,0.6878164085954739,0.6906407309451215,0.7521201145810275,0.6974658624727212]","[0.8099454191033139,0.7231153846153845,0.7444895545920378,0.7462654320987656,0.7675795560308125]",False,,,
logistic_regression,5,10,balanced,0.72204533581126318,0.75796796412057843,"[0.7835692624843195,0.6870730572860387,0.6908364357020611,0.7519556653409935,0.6967922582429029]","[0.8100311890838207,0.7218807692307692,0.744327946393378,0.7463966049382715,0.7672033109566525]",False,,,
random_forest,0,,,0.75174831540318898,0.78362796838918058,"[0.7671128426011045,0.7631576570292511,0.7361297027416979,0.7635040938378815,0.7288372808060097]","[0.8055399610136451,0.7832423076923077,0.7696807252660622,0.7818634259259261,0.7778134220479614]",False,4,10,sqrt
random_forest,1,,balanced,0.75100906753999985,0.78442736542937752,"[0.7670387862554424,0.7620390853231986,0.732996342860035,0.7606679548427923,0.7323031684185317]","[0.8076296296296297,0.7833269230769232,0.770449349625542,0.7802006172839505,0.7805303075308423]",False,4,10,sqrt
random_forest,2,,,0.74293880368976584,0.77933613058989482,"[0.7647057889222164,0.772916049351301,0.7115189410226834,0.7412716357254858,0.7242816034271429]","[0.8028615984405457,0.7891538461538462,0.7625778478517935,0.7701195987654321,0.7719677617378563]",False,4,10,0.5
random_forest,3,,balanced,0.74091388895343058,0.77929927301738933,"[0.7614460970233231,0.7729764725278268,0.7097709278886342,0.7348307539871841,0.7255451933401845]","[0.8025380116959064,0.7897346153846154,0.7632242806464329,0.7648533950617284,0.7761460622982634]",False,4,10,0.5
random_forest,4,,,0.75131744789720345,0.78371314058131314,"[0.7665793857078577,0.759935454607507,0.7356840911237288,0.76347847761628,0.7309098304306441]","[0.8054697855750488,0.7826692307692307,0.7697398502167916,0.7820100308641975,0.7786768054812966]",False,4,5,sqrt
random_forest,5,,balanced,0.75163256132101763,0.78472053491505778,"[0.7684919784721779,0.7601333582318468,0.7340608962934032,0.7625325214453743,0.732944052162286]","[0.8085185185185185,0.7833346153846152,0.7700157666535278,0.780914351851852,0.7808194221667756]",False,4,5,sqrt
random_forest,6,,,0.74314659734837052,0.77954896701793541,"[0.7652065190380057,0.7730700357488353,0.7124833832726328,0.7396660305891579,0.7253070180932204]","[0.8034074074074073,0.7890846153846154,0.762696097753252,0.7695216049382717,0.7730351096061308]",False,4,5,0.5
random_forest,7,,balanced,0.74112257840533213,0.77925123720675893,"[0.761811252327143,0.7726944110560998,0.7115957087233115,0.7347925743630768,0.7247189455570293]","[0.8032397660818713,0.7892961538461538,0.7633346472211273,0.7647029320987654,0.775682686785877]",False,4,5,0.5
random_forest,8,,,0.75080044970381365,0.78338389008356724,"[0.7669049418186014,0.760133736475157,0.7355933568991223,0.7624684593561335,0.7289017539700542]","[0.8056140350877193,0.7825884615384615,0.7695979503350414,0.7815432098765432,0.7775757935800709]",False,4,2,sqrt
random_forest,9,,balanced,0.75117589470172519,0.784663809427529,"[0.7684862692900563,0.7596012495698465,0.7334177329369636,0.7625663455813884,0.7318078761303709]","[0.8086159844054581,0.7834307692307692,0.7701537248718959,0.7809645061728394,0.7801540624566823]",False,4,2,sqrt
random_forest,10,,,0.742323790928064,0.77920868953480404,"[0.7651308610466063,0.7711284506453038,0.7104692309507404,0.7401023657116137,0.7247880462860563]","[0.8033840155945419,0.7889884615384615,0.7615530153724873,0.7695640432098765,0.7725539119586528]",False,4,2,0.5
