bin,lower,upper,upper_inclusive,count,mean_probability,positive_fraction,ece_contribution,model,probability_method
0,0,0.10000000000000001,False,9,0.082334558295263233,0,0.0006938305474319935,B1_idf_coverage_threshold,raw_feature
1,0.10000000000000001,0.20000000000000001,False,27,0.14832263454820738,0,0.0037497295250951304,B1_idf_coverage_threshold,raw_feature
2,0.20000000000000001,0.29999999999999999,False,57,0.26121855204442262,0.15789473684210525,0.0055144732832697468,B1_idf_coverage_threshold,raw_feature
3,0.29999999999999999,0.40000000000000002,False,114,0.34820842599620977,0.21929824561403508,0.013760075434052355,B1_idf_coverage_threshold,raw_feature
4,0.40000000000000002,0.5,False,136,0.44973842953538845,0.4264705882352941,0.0029629460831580821,B1_idf_coverage_threshold,raw_feature
5,0.5,0.59999999999999998,False,210,0.54758463629963017,0.42857142857142855,0.023401473429702568,B1_idf_coverage_threshold,raw_feature
6,0.59999999999999998,0.69999999999999996,False,187,0.6486032191653156,0.50267379679144386,0.025551312719020617,B1_idf_coverage_threshold,raw_feature
7,0.69999999999999996,0.80000000000000004,False,153,0.74326446270248059,0.56209150326797386,0.025954553177415289,B1_idf_coverage_threshold,raw_feature
8,0.80000000000000004,0.90000000000000002,False,93,0.84493610798986729,0.68817204301075274,0.013650803411102672,B1_idf_coverage_threshold,raw_feature
9,0.90000000000000002,1,True,82,0.96968119175316014,0.62195121951219512,0.026698368655205178,B1_idf_coverage_threshold,raw_feature
0,0,0.10000000000000001,False,66,0.044844665065534348,0.045454545454545456,3.7689237523158373e-05,B2_logistic_regression,uncalibrated
1,0.10000000000000001,0.20000000000000001,False,139,0.15337945494511071,0.17985611510791366,0.0034459323620127441,B2_logistic_regression,uncalibrated
2,0.20000000000000001,0.29999999999999999,False,168,0.24496226179422903,0.42857142857142855,0.028882340841357226,B2_logistic_regression,uncalibrated
3,0.29999999999999999,0.40000000000000002,False,154,0.34930787030208738,0.37012987012987014,0.0030024231961409604,B2_logistic_regression,uncalibrated
