feature,permutation_auprc_decrease_mean,permutation_auprc_decrease_std,repeats,rank
idf_weighted_query_token_context_coverage,0.037654847832944996,0.0098772387160471452,30,1
retrieval_strategy,0.019042147852329397,0.0057308385229124627,30,2
bm25_dense_chunk_overlap_count,0.01224764276139444,0.0028059831632877364,30,3
bm25_dense_chunk_jaccard,0.010187976174212928,0.0024274847411263041,30,4
query_chunk_similarity_max,0.008230365414787718,0.0056836229717668347,30,5
max_chunk_query_lexical_overlap,0.0080055670317928859,0.0088493224190175825,30,6
std_chunk_query_lexical_overlap,0.0075656064787593454,0.0023178201361450461,30,7
query_digit_token_fraction,0.0054882623831802166,0.00093904025878179865,30,8
query_chunk_similarity_std,0.0050118548680571379,0.0021171281100777978,30,9
query_unique_token_fraction,0.0047719651773957539,0.0016020269713637656,30,10
unique_query_token_context_coverage,0.0035135643211572178,0.0026319444444969763,30,11
query_digit_token_count,0.0033612042251813801,0.00093686205086245639,30,12
duplicate_document_ratio,0.003274896414738293,0.00053546631984189609,30,13
retrieval_top1_top2_gap,0.0021130421561548983,0.0024784413089001473,30,14
query_unique_token_count,0.0015835795247932957,0.004384014149622922,30,15
chunk_pairwise_similarity_mean,0.0011600375474174732,0.00096214672124665017,30,16
mean_chunk_query_lexical_overlap,0.0010058013274210815,0.0008995169768305824,30,17
retrieval_score_std,0.0009958952011476748,0.0030902760365877332,30,18
retrieval_top1_score,0.00088384160109279783,0.0024644670736428901,30,19
query_chunk_similarity_mean,0.00075389790850121101,0.0011973048718992396,30,20
query_chunk_similarity_min,0.000752858762471013,0.00086886841232119603,30,21
retrieved_total_token_count,0.00068174499472570813,0.00031486127254149056,30,22
retrieval_score_range,0.0006619992968255402,0.0028263830143637233,30,23
k,0.00022735735425882437,0.00015053104486581693,30,24
retrieved_chunk_count,3.6948308204824237e-05,0.00016788611160019757,30,25
retrieval_top2_score,2.63675867144042e-05,0.00077504834660213347,30,26
retrieved_unique_document_count,-1.0249618187552212e-05,0.00026597657913566484,30,27
chunk_pairwise_similarity_max,-0.00011968513886624713,0.00064072410851666794,30,28
dominant_document_chunk_fraction,-0.00020215232199647011,0.00032298444172583284,30,29
retrieval_score_mean,-0.00075537719172585525,0.00078176701389506419,30,30
retrieval_score_max,-0.00096215987002924816,0.0019832601379596105,30,31
retrieved_std_chunk_token_count,-0.0010251544238581581,0.00094128314848642509,30,32
retrieval_score_min,-0.0010897215892113085,0.00088986584381439758,30,33
query_identifier_like_token_fraction,-0.0015767836814096696,0.0010936624395119,30,34
retrieved_mean_chunk_token_count,-0.0016477375060635069,0.00094913505166300779,30,35
query_identifier_like_token_count,-0.0022809266883070832,0.0012144684492648703,30,36
query_chunk_similarity_top1_top2_gap,-0.0024026265399105648,0.00083457395118520679,30,37
query_token_count,-0.0026122745516912222,0.0023847945761506792,30,38
query_char_count,-0.011358166648560519,0.0052072496066344568,30,39
