population,level,metric,point_estimate,confidence_level,ci_low,ci_high,method,resampling_unit,requested_replicates,valid_replicates,seed
good_primary,claim,precision,0.2280130293159609,0.95,0.16348333111813554,0.30736445072365554,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
good_primary,claim,recall,0.5753424657534246,0.95,0.481441570881226,0.6539175123601353,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
good_primary,claim,f1,0.3265940902021773,0.95,0.24645947833050486,0.4124495627187355,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
good_primary,claim,auroc,0.8029875081845143,0.95,0.7656774922911839,0.8359236407981352,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
good_primary,claim,auprc,0.22862768715519935,0.95,0.1690550403778811,0.30411208766602116,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
good_primary,response,precision,0.27555555555555555,0.95,0.22717342079121136,0.32675546095631236,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
good_primary,response,recall,0.775,0.95,0.7034769203664553,0.846640678254942,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
good_primary,response,f1,0.4065573770491804,0.95,0.34866629225502777,0.4660046188875166,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
good_primary,response,auroc,0.7281599650349652,0.95,0.6873239859431991,0.7743868857244643,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
good_primary,response,auprc,0.40556055528521395,0.95,0.33061082007798837,0.4979201919788017,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
all_quality_sensitivity,claim,precision,0.22364217252396165,0.95,0.16,0.30137738822331844,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
all_quality_sensitivity,claim,recall,0.5753424657534246,0.95,0.481441570881226,0.6539175123601353,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
all_quality_sensitivity,claim,f1,0.3220858895705521,0.95,0.24193360840210054,0.4069638961761829,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
all_quality_sensitivity,claim,auroc,0.8013527524950712,0.95,0.7638241720240357,0.8341925931730179,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
all_quality_sensitivity,claim,auprc,0.22444287711097738,0.95,0.16643932532464067,0.2990815091141263,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
all_quality_sensitivity,response,precision,0.26495726495726496,0.95,0.21721041846419326,0.3150300433960165,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
all_quality_sensitivity,response,recall,0.775,0.95,0.7034769203664553,0.846640678254942,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
all_quality_sensitivity,response,f1,0.39490445859872614,0.95,0.3386494047335209,0.4546794851320707,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
all_quality_sensitivity,response,auroc,0.724391891891892,0.95,0.6840525201153509,0.7709383379379218,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
all_quality_sensitivity,response,auprc,0.3934248926177912,0.95,0.32241776566219654,0.4799896563756104,source_id_cluster_percentile_bootstrap,source_id,1000,1000,42
