t_support,eligible_claim_count,tn,fp,fn,tp,precision,recall,f1,selected
0.0,35880,32246,0,3634,0,,0.0,0.0,False
0.02,35880,30130,2116,2620,1014,0.32396166134185306,0.279031370390754,0.29982259018332347,False
0.04,35880,29242,3004,2291,1343,0.3089487002530481,0.3695652173913043,0.33654930459842125,False
0.06,35880,28624,3622,2110,1524,0.2961523513408473,0.4193725921849202,0.34715261958997723,False
0.08,35880,28150,4096,2000,1634,0.28516579406631765,0.449642267473858,0.34899615548910723,False
0.1,35880,27798,4448,1904,1730,0.28002589834898023,0.4760594386351128,0.35262943334692215,False
0.12,35880,27445,4801,1825,1809,0.2736762481089259,0.49779856906989545,0.3531823506442796,False
0.14,35880,27160,5086,1750,1884,0.2703012912482066,0.5184369840396258,0.35533760844964163,False
0.16,35880,26916,5330,1676,1958,0.2686608122941822,0.538800220143093,0.3585423915033876,True
0.18,35880,26686,5560,1635,1999,0.2644529699695727,0.5500825536598789,0.3571875279192352,False
0.2,35880,26488,5758,1595,2039,0.2615108375016032,0.5610897083104017,0.35674919079695566,False
0.22,35880,26259,5987,1552,2082,0.2580245383566737,0.5729223995597138,0.3558062035375545,False
0.24,35880,26071,6175,1516,2118,0.2553961172072832,0.5828288387451843,0.35516056007378216,False
0.26,35880,25895,6351,1475,2159,0.2537015276145711,0.5941111722619703,0.355566534914361,False
0.28,35880,25701,6545,1449,2185,0.2502863688430699,0.6012658227848101,0.3534454868974442,False
0.3,35880,25526,6720,1423,2211,0.24756466241182398,0.6084204733076499,0.3519299641862316,False
0.32,35880,25352,6894,1403,2231,0.24449315068493152,0.6139240506329114,0.3497139274237793,False
0.34,35880,25168,7078,1364,2270,0.2428326914848096,0.6246560264171711,0.3497149899861347,False
0.36,35880,24986,7260,1338,2296,0.2402678945165341,0.631810676940011,0.34814253222137986,False
0.38,35880,24806,7440,1322,2312,0.23707957342083674,0.6362135388002201,0.3454355296578515,False
0.4,35880,24673,7573,1291,2343,0.2362847922549415,0.6447440836543753,0.345830258302583,False
0.42,35880,24547,7699,1270,2364,0.23492000397495777,0.6505228398458999,0.34518507702416584,False
0.44,35880,24394,7852,1250,2384,0.23290347792106292,0.6560264171711613,0.34376351838500363,False
0.46,35880,24226,8020,1228,2406,0.23076923076923078,0.6620803522289488,0.34224751066856335,False
0.48,35880,24081,8165,1200,2434,0.22964430606661007,0.6697853604843148,0.3420220614065903,False
0.5,35880,23927,8319,1176,2458,0.2280783149299434,0.6763896532746285,0.34112830476719175,False
0.52,35880,23789,8457,1158,2476,0.2264703192170493,0.6813428728673638,0.33994645431454656,False
0.54,35880,23617,8629,1133,2501,0.2247079964061096,0.6882223445239406,0.33879707396369546,False
0.56,35880,23450,8796,1118,2516,0.2224186704384724,0.6923500275178867,0.3366787100227486,False
0.58,35880,23255,8991,1093,2541,0.22034339229968783,0.6992294991744634,0.3350916523803244,False
0.6,35880,23106,9140,1068,2566,0.21920382709721511,0.7061089708310402,0.33455019556714477,False
0.62,35880,22928,9318,1043,2591,0.2175665463095138,0.712988442487617,0.3333976709772888,False
0.64,35880,22740,9506,1024,2610,0.21541762958071972,0.7182168409466153,0.3314285714285714,False
0.66,35880,22554,9692,1010,2624,0.21305618707372523,0.7220693450742983,0.3290282131661442,False
0.68,35880,22327,9919,989,2645,0.21052212671123846,0.7278481012658228,0.32658352883071984,False
0.7,35880,22092,10154,966,2668,0.20807986273592263,0.7341772151898734,0.3242586290714633,False
0.72,35880,21871,10375,931,2703,0.20668297904878422,0.7438084755090809,0.32348013403542364,False
0.74,35880,21613,10633,902,2732,0.20441451552562664,0.75178866263071,0.3214306723924937,False
0.76,35880,21362,10884,883,2751,0.20176017601760177,0.7570170610897083,0.31860559383867043,False
0.78,35880,21090,11156,861,2773,0.19908105391628975,0.7630709961474959,0.3157774867619427,False
0.8,35880,20770,11476,831,2803,0.1963022620631697,0.771326362135388,0.31295707028415115,False
0.82,35880,20464,11782,798,2836,0.19400738815159393,0.7804072647220693,0.3107604646066185,False
0.84,35880,20068,12178,762,2872,0.19083056478405316,0.7903137039075399,0.30742881609933637,False
0.86,35880,19628,12618,728,2906,0.1871940221592373,0.7996697853604843,0.30337195949472806,False
0.88,35880,19122,13124,690,2944,0.18322130943490167,0.810126582278481,0.29885290833417927,False
0.9,35880,18511,13735,645,2989,0.17872518536235352,0.8225096312603192,0.2936437764023971,False
0.92,35880,17731,14515,596,3038,0.17307582749387568,0.8359933957072097,0.2867796290177939,False
0.94,35880,16632,15614,533,3101,0.16569596580283194,0.8533296642817831,0.27750682357152445,False
0.96,35880,15101,17145,442,3192,0.15695530314205636,0.8783709411117226,0.2663218055149973,False
0.98,35880,12071,20175,298,3336,0.1418910297307643,0.9179966978536048,0.24579112175354573,False
1.0,35880,0,32246,0,3634,0.10128205128205128,1.0,0.18393480791618158,False
